,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA,CITY_STATE
1140,1045.0,598.0,1809.0,1161.0,0.654,-46.17353581,-14.55743505,30644.22,9047.6,Damianópolis - GO
1141,1377.0,680.0,2278.0,1323.0,0.521,-35.90994254,-6.631897407,38999.58,7363.97,Damião - PB
1142,959.0,766.0,2181.0,1487.0,0.7,-49.36110565,-16.25480162,36730.75,12583.33,Damolândia - GO
1143,1485.0,960.0,3456.0,2052.0,0.581,-47.75216111,-6.712351001,122373.47,20699.17,Darcinópolis - TO
1144,3395.0,1391.0,5085.0,3143.0,0.54,-39.90246565,-14.43504744,92040.83,7757.99,Dário Meira - BA
1145,1408.0,863.0,3087.0,1922.0,0.616,-43.65671464,-18.45330265,50905.92,9328.55,Datas - MG
1146,1508.0,673.0,1912.0,1280.0,0.762,-51.85224906,-28.38461153,125077.95,25831.88,David Canabarro - RS
1147,766.0,503.0,1393.0,915.0,0.716,-47.55936839,-18.15856434,315913.88,148316.37,Davinópolis - GO
1148,2423.0,942.0,2998.0,1942.0,0.669,-45.27259636,-22.50200875,88.38,10774.38,Delfim Moreira - MG
1149,2219.0,1608.0,4810.0,3080.0,0.74,-46.85817961,-20.34584622,168280.62,23486.48,Delfinópolis - MG
1150,13257.0,9718.0,34807.0,21372.0,0.612,-37.99923349,-9.384574447,457025.04,8737.53,Delmiro Gouveia - AL
1151,2389.0,2214.0,7329.0,4892.0,0.639,-47.77297143,-19.97747269,322.41,33213.76,Delta - MG
1152,3801.0,3131.0,10833.0,6655.0,0.618,-42.67422861,-5.358465466,138.95,10235.62,Demerval Lobão - PI
1153,2588.0,2191.0,7287.0,4676.0,0.68,-57.05377727,-14.73381592,421679.2,46645.93,Denise - MT
1154,3946.0,3261.0,9962.0,6393.0,0.69,-54.16118324,-22.27294914,245700.57,19328.24,Deodápolis - MS
1155,2771.0,1331.0,4116.0,2485.0,0.609,-39.26154177,-5.908962374,65.51,6908.19,Deputado Irapuan Pinheiro - CE
1156,1056.0,316.0,901.0,549.0,0.71,-53.86511946,-27.26539094,77532.92,24810.53,Derrubadas - RS
1157,9627.0,8622.0,27614.0,18425.0,0.76,-47.62066397,-21.909083,1385106.9,41764.12,Descalvado - SP
1158,2651.0,1403.0,3625.0,2376.0,0.743,-53.50462887,-26.81787022,220703.59,26112.59,Descanso - SC
1159,1590.0,1361.0,4060.0,2633.0,0.68,-42.97206918,-21.46020397,59424.03,11816.27,Descoberto - MG
1160,2317.0,1430.0,4876.0,2878.0,0.58,-37.09216932,-7.29144753,60163.81,7266.16,Desterro - PB
1161,117397.0,117397.0,349014.0,240126.0,0.757,-46.62338139,-23.689295,13229.74,31865.08,Diadema - SP
1162,1764.0,1090.0,3818.0,2370.0,0.593,-38.26504421,-7.423583421,49410.17,7520.57,Diamante - PB
1163,1458.0,822.0,2536.0,1578.0,0.644,-54.10362643,-24.94216186,102518.95,19427.51,Diamante D'Oeste - PR
1164,12831.0,11233.0,40491.0,26712.0,0.716,-43.59445682,-18.24209272,712.41,14812.65,Diamantina - MG
1165,5876.0,4637.0,15806.0,10447.0,0.718,-56.43356608,-14.40132296,2204680.82,104092.58,Diamantino - MT
1166,5156.0,4434.0,16391.0,10029.0,0.701,-46.82040907,-11.62523188,285426.82,13302.27,Dianópolis - TO
1167,2646.0,2147.0,7122.0,4547.0,0.7,-42.78236844,-19.84399667,69043.72,8246.0,Dionísio - MG
1168,4675.0,3263.0,7558.0,4739.0,0.706,-53.63139512,-26.26648853,400.47,26012.7,Dionísio Cerqueira - SC
1169,856.0,537.0,1489.0,968.0,0.73,-51.25889307,-16.23170852,50102.76,19679.01,Diorama - GO
1170,589.0,456.0,1279.0,828.0,0.741,-50.60605599,-20.46441279,52.68,29611.09,Dirce Reis - SP
1171,1869.0,680.0,2364.0,1499.0,0.561,-42.43956996,-9.335200044,36905.17,5364.12,Dirceu Arcoverde - PI
1172,1202.0,595.0,2093.0,1307.0,0.61,-37.14934496,-10.6773757,85777.81,17241.77,Divina Pastora - SE
1173,1043.0,716.0,2175.0,1393.0,0.657,-43.0110812,-20.99001034,41.62,12079.2,Divinésia - MG
1174,6046.0,3562.0,10652.0,6665.0,0.605,-42.14773934,-20.6129772,237311.06,11821.81,Divino - MG
1175,3585.0,2479.0,7471.0,4997.0,0.73,-46.73686979,-21.66162151,269347.28,23550.52,Divinolândia - SP
1176,66706.0,64921.0,190832.0,131366.0,0.764,-44.89388553,-20.14207397,5635252.84,24191.34,Divinópolis - MG
1177,1647.0,1587.0,5686.0,3447.0,0.608,-41.34002433,-15.72393995,89783.52,13701.13,Divisa Alegre - MG
1178,1775.0,1442.0,4645.0,2851.0,0.67,-46.20294111,-21.51726446,88.85,14685.78,Divisa Nova - MG
1179,2423.0,1742.0,6390.0,4037.0,0.609,-41.0025824,-15.72463536,65336.01,6293.2,Divisópolis - MG
1180,2429.0,2382.0,7756.0,5112.0,0.718,-48.40024272,-21.51480433,98288.5,11337.93,Dobrada - SP
1181,7632.0,7243.0,23371.0,15045.0,0.725,-48.38267599,-22.367316,683547.83,25595.29,Dois Córregos - SP
1182,9407.0,9313.0,27178.0,19573.0,0.743,-51.08761931,-29.58415878,1635505.17,53672.39,Dois Irmãos - RS
1183,1056.0,555.0,1563.0,1044.0,0.757,-51.83510299,-28.97520539,89.64,26180.85,Dois Lajeados - RS
1184,2950.0,1516.0,5081.0,2975.0,0.532,-37.08984965,-9.385670812,70479.8,6282.18,Dois Riachos - AL
1185,11699.0,9170.0,27749.0,18884.0,0.767,-53.05483599,-25.74601002,1479083.16,37445.14,Dois Vizinhos - PR
1186,732.0,687.0,1946.0,1230.0,0.742,-50.51536308,-20.12287066,43.34,20261.42,Dolcinópolis - SP
1187,2739.0,2216.0,6514.0,4044.0,0.69,-54.91748078,-15.80745515,339341.53,42370.03,Dom Aquino - MT
1188,2978.0,630.0,2237.0,1436.0,0.591,-41.77087758,-13.76332655,123444.64,9833.88,Dom Basílio - BA
1189,1701.0,1509.0,4595.0,2772.0,0.688,-42.11032405,-19.37916303,52548.45,9990.2,Dom Cavati - MG
1190,13103.0,8538.0,30476.0,18931.0,0.615,-47.55591489,-4.29077772,656087.58,11459.84,Dom Eliseu - PA
1191,1929.0,1050.0,3566.0,2333.0,0.601,-41.65238521,-6.957901843,68811.84,10158.23,Dom Expedito Lopes - PI
1192,4642.0,1138.0,3325.0,2108.0,0.59,-52.10393358,-30.70859843,225294.42,14798.63,Dom Feliciano - RS
