,T_min,Freq,RelCost,Dist,CITY_STATE_A,CITY_STATE_B
10643,1500,70.0,0.156666666666667,1125.9684602694567,Bacabal - MA,Porangatu - GO
10644,60,47.0,0.156666666666667,32.639515108500426,Mombaça - CE,Senador Pompeu - CE
10645,150,63.0,0.156666666666667,116.50490561630431,Campo Redondo - RN,Natal - RN
10646,2400,16.0,0.156666666666667,1701.7574326594665,Aracaju - SE,Campinas - SP
10647,300,80.0,0.156666666666667,204.68289970203952,Ilhéus - BA,Itabela - BA
10648,150,24.0,0.156666666666667,112.5568440700332,Ipupiara - BA,Seabra - BA
10649,30,192.0,0.156666666666667,16.05316233543992,Presidente Tancredo Neves - BA,Teolândia - BA
10650,120,27.0,0.156666666666667,70.30525757854392,Manhuaçu - MG,Taparuba - MG
10651,30,107.0,0.156666666666667,11.518899449157965,Rodeiro - MG,Ubá - MG
10652,120,104.0,0.156666666666667,57.14870381280983,Alfredo Chaves - ES,Vitória - ES
10653,60,7.0,0.156666666666667,34.02979131664825,Cafelândia - SP,Getulina - SP
10654,30,77.0,0.156666666666667,14.901596496189375,Caiuá - SP,Presidente Epitácio - SP
10655,30,49.0,0.156666666666667,14.674158878040988,Glicério - SP,Penápolis - SP
10656,30,28.0,0.156666666666667,14.382000224390186,Itatiba - SP,Louveira - SP
10657,30,28.0,0.156666666666667,15.056465919273274,Joanópolis - SP,Vargem - SP
10658,60,14.0,0.156666666666667,41.02581400416307,Lins - SP,Pongaí - SP
10659,120,42.0,0.156666666666667,66.61539121090145,Alto Paraná - PR,Marialva - PR
10660,330,7.0,0.156666666666667,212.94079549488922,Clevelândia - PR,Carazinho - RS
10661,150,27.0,0.156666666666667,93.29362683294697,Palmas - PR,Chapecó - SC
10662,255,7.0,0.156666666666667,112.02497897379703,Carlos Barbosa - RS,Ciríaco - RS
10663,120,12.0,0.156666666666667,73.58591638109095,Espumoso - RS,Ilópolis - RS
10664,30,82.0,0.156666666666667,19.07729818779201,Ivoti - RS,São Leopoldo - RS
10665,250,56.0,0.15668,111.05189653336548,Arapongas - PR,Paranavaí - PR
10666,750,3.0,0.15668,416.60627144260263,Campo Mourão - PR,Ronda Alta - RS
10667,3074,7.0,0.156681847755368,2323.889961506446,Rio Branco - AC,Uberlândia - MG
10668,980,4.0,0.15669387755102,647.221625813489,Ilhéus - BA,Marechal Floriano - ES
10669,185,14.0,0.156702702702703,72.63744129712236,Londrina - PR,Santa Fé - PR
10670,695,70.0,0.156705035971223,525.262979222519,Cascavel - PR,Estrela - RS
10671,170,13.0,0.156705882352941,80.39787347682037,Lagoa Vermelha - RS,Veranópolis - RS
10672,1230,13.0,0.156707317073171,882.7267502875546,Crato - CE,Luís Eduardo Magalhães - BA
10673,335,42.0,0.156716417910448,216.45827852700106,Campina Grande - PB,Juru - PB
10674,390,35.0,0.156717948717949,376.183283947415,Cassilândia - MS,Goiânia - GO
10675,780,3.0,0.156730769230769,443.67498257270574,Maringá - PR,Nonoai - RS
10676,150,14.0,0.156733333333333,81.13994904686619,Arraias - TO,Taguatinga - TO
10677,150,14.0,0.156733333333333,82.57270305762329,Belmonte - BA,Itagimirim - BA
10678,705,2.0,0.156737588652482,463.155560926621,Eunápolis - BA,Marechal Floriano - ES
10679,270,42.0,0.156740740740741,198.76197699695265,Chapadinha - MA,Parnaíba - PI
10680,178,49.0,0.156741573033708,156.70205269580902,Francinópolis - PI,Teresina - PI
10681,700,7.0,0.156742857142857,441.4527277210355,Marmeleiro - PR,São Leopoldo - RS
10682,215,9.0,0.156744186046512,133.36208492154313,Amélia Rodrigues - BA,São Domingos - BA
10683,289,56.0,0.156747404844291,313.4568397616631,Teresina - PI,Sobral - CE
10684,720,42.0,0.15675,664.9810431004267,Cáceres - MT,Jataí - GO
10685,170,10.0,0.156764705882353,105.34643472074299,Bastos - SP,Tupi Paulista - SP
10686,1440,7.0,0.156770833333333,853.2040968509925,Milagres - CE,Barreiras - BA
10687,590,14.0,0.156779661016949,344.66251121220654,Salgado - SE,Piritiba - BA
10688,835,14.0,0.156790419161677,638.3409067703946,Sonora - MS,Sinop - MT
10689,690,6.0,0.156811594202899,355.4795906888044,Campo Mourão - PR,Concórdia - SC
10690,1330,14.0,0.156812030075188,923.3417187990103,Rosário Oeste - MT,Brasília - DF
10691,270,8.0,0.156814814814815,167.4164664192262,Itabela - BA,Mucuri - BA
